平台,MA均線,交叉日期,交叉日最高價,交叉日最低價,多空趨勢,MACD區間,區間最高價,區間最低價,目標日期,目標日最高價,目標日最低價,,漲數,漲幅,,跌數,跌幅
bingx,5&10,2025/09/22,115621,111537,空,上,,,2025/09/26,111628,108563,,-3993,-3.5%,,2974,2.7%
bingx,5&10,2025/09/05,113345,109308,多,下,,,2025/09/19,117537,115409,,4192,3.7%,,-6101,-5.6%
bingx,5&10,2025/08/17,118540,117118,空,上,,,2025/09/01,109872,107209,,-8668,-7.3%,,9909,8.5%
bingx,5&10,2025/08/09,117901,115948,多,上,,,2025/08/14,124555,117412,,6654,5.6%,,-1464,-1.3%
bingx,5&10,2025/07/22,119623,116055,空,上,,,2025/07/25,119418,115713,,-205,-0.2%,,342,0.3%
bingx,5&10,2025/06/27,107965,106320,多,上,,,2025/07/14,123256,118202,,15291,14.2%,,-11882,-11.2%
bingx,5&10,2025/06/16,107736,104423,空,上,,,2025/06/23,102575,98129,,-5161,-4.8%,,6294,6%
bingx,5&10,2025/06/09,107986,105263,多,上,,,2025/06/11,110630,107575,,2644,2.4%,,-2312,-2.2%
bingx,5&10,2025/05/30,107129,104558,空,上,,,2025/06/06,105286,100326,,-1843,-1.7%,,4232,4%
bingx,5&10,2025/04/14,85779,83003,多,下,,,2025/05/23,111955,107275,,26176,30.5%,,-24272,-29.2%
bingx,5&10,2025/03/30,83507,81618,空,下,,,2025/04/07,82537,74474,,-970,-1.2%,,7144,8.8%
bingx,5&10,2025/03/18,84728,81118,多,下,,,2025/03/26,88518,86401,,3790,4.5%,,-5283,-6.5%
bingx,5&10,2025/03/10,84041,79136,空,下,,,2025/03/11,82237,76576,,-1804,-2.1%,,2560,3.2%
bingx,5&10,2025/03/06,92793,87566,多,下,,,2025/03/06,92793,87566,,0,0%,,0,0%
